name,abc,tla,charge,radius,type,mass
Alanine,A,ALA,0,5.04,1,71.08
Cysteine,C,CYS,0,5.48,2,103.1
Aspartic Acid,D,ASP,-1,5.58,3,115.1
Glutamic Acid,E,GLU,-1,5.92,4,129.1
Phenylalanine,F,PHE,0,6.36,5,147.2
Glycine,G,GLY,0,4.5,6,57.05
Histidine,H,HIS,0.5,6.08,7,137.1
Isoleucine,I,ILE,0,6.18,8,113.2
Lysine,K,LYS,1,6.36,9,128.2
Leucine,L,LEU,0,6.18,10,113.2
Methionine,M,MET,0,6.18,11,131.2
Asparagine,N,ASN,0,5.68,12,114.1
Proline,P,PRO,0,5.56,13,97.12
Glutamine,Q,GLN,0,6.02,14,128.1
Arginine,R,ARG,1,6.56,15,156.2
Serine,S,SER,0,5.18,16,87.08
Threonine,T,THR,0,5.62,17,101.1
Valine,V,VAL,0,5.86,18,99.07
Tryptophan,W,TRP,0,6.78,19,186.2
Tyrosine,Y,TYR,0,6.46,20,163.2
Phosphoserine,J,SEP,-2,6.36,21,165.03
Phosphothreonine,O,THP,-2,6.62,22,179.05
Phosphotyrosine,U,TYP,-2,7.38,23,241.15
